light_rail,commuter_rail,brt,ferry,bus,express,x,y
0,0,0,0,1,0,-122.3076663,47.81740413
0,0,0,0,1,0,-122.3248803,47.81041187
0,0,0,0,1,0,-122.2923688,47.80906385
0,0,0,0,1,0,-122.3221009,47.79948926
0,0,0,0,1,0,-122.3193986,47.79943607
0,0,0,0,1,0,-122.2923414,47.79954155
0,0,0,0,1,0,-122.3248854,47.8175932
0,0,0,0,1,0,-122.3249642,47.81583892
0,0,0,0,1,0,-122.3141727,47.82215455
0,0,0,0,1,0,-122.3196143,47.82117227
0,0,0,0,1,0,-122.2924443,47.81731762
0,0,0,0,1,0,-122.3204072,47.81503639
0,0,0,0,1,0,-122.3241449,47.8104076
0,0,0,0,1,0,-122.3111194,47.82573299
0,0,0,0,1,0,-122.3121978,47.82109786
0,0,0,0,1,0,-122.2978856,47.82096334
0,0,0,0,1,0,-122.3175393,47.81825259
0,0,0,0,1,0,-122.3005925,47.81735181
0,0,0,0,1,0,-122.2978141,47.81732391
0,0,0,0,1,0,-122.3031808,47.80246808
0,0,0,0,1,0,-122.3173102,47.82114028
0,0,0,0,1,0,-122.319583,47.81757714
0,0,0,0,1,0,-122.3181782,47.81756799
0,0,0,0,1,1,-122.297831,47.8160053
0,0,0,0,1,0,-122.3031641,47.80647172
0,0,0,0,1,0,-122.2923392,47.80277257
0,0,0,0,1,0,-122.311277,47.79934194
0,0,0,0,1,0,-122.3032209,47.81012409
0,0,0,0,1,0,-122.2923364,47.80639909
0,0,0,0,1,1,-122.2963313,47.81559177
0,0,0,0,1,0,-122.3086113,47.79931076
0,0,0,0,1,1,-122.2950608,47.81606094
0,0,0,0,1,0,-122.3032432,47.81376174
0,0,0,0,1,0,-122.3031555,47.79920385
0,0,0,0,1,0,-122.2924439,47.82349524
0,0,0,0,1,0,-122.2924448,47.82270184
0,0,0,0,1,0,-122.3250053,47.82124443
0,0,0,0,1,0,-122.3086107,47.81743662
0,0,0,0,1,0,-122.3072554,47.79928408
0,0,0,0,1,0,-122.3221011,47.79582969
0,0,0,0,1,0,-122.2923238,47.80450262
0,0,0,0,1,0,-122.3241067,47.82124987
0,0,0,0,1,0,-122.3150486,47.82111141
0,0,0,0,1,0,-122.3110125,47.82107948
0,0,0,0,1,0,-122.2923866,47.81837143
0,0,0,0,1,0,-122.3213603,47.81397138
0,0,0,0,1,0,-122.3267235,47.80682209
0,0,0,0,1,0,-122.2924365,47.82091758
